,ratingDescription,release_year,ratingLevel_len,rating_Child,rating_Juvenile,rating_Preschool,rating_Teenager,Highly_recommend_Yes
count,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0
mean,73.23666666666666,2010.785,54.22833333333333,0.315,0.018333333333333333,0.17166666666666666,0.31333333333333335,0.7066666666666667
std,27.860443812652225,7.7527812877805475,23.510794534744704,0.46490345812397016,0.13426566079357788,0.3774051049526173,0.46423565869095257,0.45566977860520047
min,10.0,1982.0,3.0,0.0,0.0,0.0,0.0,0.0
25%,60.0,2007.0,38.0,0.0,0.0,0.0,0.0,0.0
50%,80.0,2015.0,66.0,0.0,0.0,0.0,0.0,1.0
75%,90.0,2016.0,77.0,1.0,0.0,0.0,1.0,1.0
max,124.0,2017.0,80.0,1.0,1.0,1.0,1.0,1.0
